brand name,dosage form,generic,strength,manufacturer
Dulamet,Inhaler,Mometasone Furoate + Formoterol Fumarate,(100 mcg+5 mcg)/puff,Square Pharmaceuticals Ltd.
Dulamet,Inhaler,Mometasone Furoate + Formoterol Fumarate,(200 mcg+5 mcg)/puff,Square Pharmaceuticals Ltd.
Dulac,Oral Solution,Lactulose,3.35 gm/5 ml,Chemist Laboratories  Ltd.
Dukoral,Oral Suspension,Oral Cholera Vaccine,3 ml/vial,Valneva
Dugal,Tablet,Ranitidine Hydrochloride,150 mg,Reman Drug Laboratories Ltd.
Duet,Tablet,Paracetamol + Caffeine,500 mg+65 mg,Silva Pharmaceuticals Ltd.
Dudon,Oral Suspension,Domperidone Maleate,5 mg/5 ml,Kumudini Pharma Ltd.
Dudon,Tablet,Domperidone Maleate,10 mg,Kumudini Pharma Ltd.
Dualvir,Tablet,Ledipasvir + Sofosbuvir,90 mg+400 mg,Aristopharma Ltd.
Dual,Tablet,Paracetamol + Caffeine,500 mg+65 mg,Medicon Pharmaceuticals Ltd.
Duac,Topical Gel,Clindamycin + Benzoyl peroxide,1%+5%,GlaxoSmithKline
Dsec,Capsule (Delayed Release),Dexlansoprazole,30 mg,Drug International Ltd.
Dsec,Capsule (Delayed Release),Dexlansoprazole,60 mg,Drug International Ltd.
Drylief,Ophthalmic Solution,Carboxymethylcellulose Sodium,1%,Aristopharma Ltd.
Drycofix,Syrup,Butamirate Citrate,7.5 mg/5 ml,DBL Pharmaceuticals Ltd.
Drucil,IV Injection or Infusion,Fluorouracil,25 mg/ml,Healthcare Pharmaceuticals Ltd.
Droxil,Capsule,Cefadroxil Monohydrate,500 mg,Rangs Pharmaceuticals Ltd.
Droxil,Pediatric Drops,Cefadroxil Monohydrate,125 mg/1.25 ml,Rangs Pharmaceuticals Ltd.
Droxil,Powder for Suspension,Cefadroxil Monohydrate,125 mg/5 ml,Rangs Pharmaceuticals Ltd.
Droxigel Plus,Oral Suspension,Aluminium Hydroxide + Magnesium Hydroxide + Simethicone,(200 mg+400 mg+30 mg)/5 ml,Modern Pharmaceuticals Ltd.
Droxigel Plus,Chewable Tablet,Aluminium Hydroxide + Magnesium Hydroxide + Simethicone,200 mg+200 mg+30 mg,Modern Pharmaceuticals Ltd.
Drotapan,Tablet,Drotaverine,40 mg,Incepta Pharmaceuticals Ltd.
Drota,Tablet,Drotaverine,40 mg,Hallmark Pharmaceuticals Ltd.
Drospi,Tablet,Drospirenone,4 mg,Nuvista Pharma Ltd.
Droslyn,Tablet,Drospirenone,4 mg,Incepta Pharmaceuticals Ltd.
Droscon,Tablet,Ethinyl Estradiol + Drospirenone (21 tablet),0.03 mg+3 mg,ACME Laboratories Ltd.
Droniva,Tablet,Ibandronic Acid,150 mg,Navana Pharmaceuticals Ltd.
Drometa,IV Infusion,Zoledronic Acid [For hypercalcemia],4 mg/5 ml,Incepta Pharmaceuticals Ltd.
Drikof,Syrup,Dextromethorphan Hydrobromide,10 mg/5 ml,Chemist Laboratories  Ltd.
Acedol,Tablet,Aceclofenac,100 mg,Concord Pharmaceuticals Ltd.
Duphaston,Tablet,Dydrogesterone,10 mg,Abbott Laboratories
Duovas,Tablet,Amlodipine Besilate + Olmesartan Medoxomil,5 mg+40 mg,Radiant Pharmaceuticals Ltd.
Duovas,Tablet,Amlodipine Besilate + Olmesartan Medoxomil,5 mg+20 mg,Radiant Pharmaceuticals Ltd.
Duopres,Tablet,Amlodipine Besilate + Olmesartan Medoxomil,5 mg+20 mg,Incepta Pharmaceuticals Ltd.
Duopres,Tablet,Amlodipine Besilate + Olmesartan Medoxomil,5 mg+40 mg,Incepta Pharmaceuticals Ltd.
Duomeal,Oral Suspension,Aluminium Hydroxide + Magnesium Hydroxide,(175 mg+225 mg)/5 ml,Ad-din Pharmaceuticals Ltd.
Duomeal,Chewable Tablet,Aluminium Hydroxide + Magnesium Hydroxide,250 mg+400 mg,Ad-din Pharmaceuticals Ltd.
Duolax,Oral Emulsion,Magnesium Hydroxide + Liquid Paraffin,(300 mg+1.25 ml)/5 ml,Square Pharmaceuticals Ltd.
Duoflam,Topical Solution,Salicylic Acid + Lactic Acid,16.7%+16.7%,GlaxoSmithKline
Duofix,Tablet (Delayed Release),Naproxen Sodium + Esomeprazole Magnesium,500 mg+20 mg,Opso Saline Ltd.
Duofix,Tablet (Delayed Release),Naproxen Sodium + Esomeprazole Magnesium,375 mg+20 mg,Opso Saline Ltd.
Duofilm,Topical Solution,Salicylic Acid + Lactic Acid,16.7%+16.7%,Stiefel Laboratories Ltd.
Duodart,Capsule,Tamsulosin Hydrochloride + Dutasteride,0.4 mg+0.5 mg,Nuvista Pharma Ltd.
Duocard,Tablet,Cilnidipine,5 mg,ACME Laboratories Ltd.
Duocard,Tablet,Cilnidipine,10 mg,ACME Laboratories Ltd.
Duoblock,Tablet,Amlodipine Besilate + Olmesartan Medoxomil,5 mg+20 mg,Aristopharma Ltd.
Duoblock,Tablet,Amlodipine Besilate + Olmesartan Medoxomil,5 mg+40 mg,Aristopharma Ltd.
Duo-5 LS,Tablet,Cefpodoxime Proxetil + Clavulanic Acid,100 mg+62.5 mg,Incepta Pharmaceuticals Ltd.
Duo-5,Tablet,Cefpodoxime Proxetil + Clavulanic Acid,200 mg+125 mg,Incepta Pharmaceuticals Ltd.
Dumax,Tablet,Dapoxetine Hydrochloride,30 mg,Eskayef Pharmaceuticals Ltd.
Dumax,Tablet,Dapoxetine Hydrochloride,60 mg,Eskayef Pharmaceuticals Ltd.
Dumaflox,Tablet,Ciprofloxacin,250 mg,Alco Pharma Ltd.
Dumaflox,Tablet,Ciprofloxacin,500 mg,Alco Pharma Ltd.
Dumaflox,Tablet,Ciprofloxacin,750 mg,Alco Pharma Ltd.
Dumaflox,Powder for Suspension,Ciprofloxacin,250 mg/5 ml,Alco Pharma Ltd.
Duloxen,Tablet (Delayed Release),Duloxetine Hydrochloride,20 mg,Incepta Pharmaceuticals Ltd.
Duloxen,Tablet (Delayed Release),Duloxetine Hydrochloride,30 mg,Incepta Pharmaceuticals Ltd.
Duloxen,Tablet (Delayed Release),Duloxetine Hydrochloride,60 mg,Incepta Pharmaceuticals Ltd.
Dulox,Tablet (Delayed Release),Duloxetine Hydrochloride,30 mg,ACME Laboratories Ltd.
Dulox,Tablet (Delayed Release),Duloxetine Hydrochloride,20 mg,ACME Laboratories Ltd.
Acecol,Tablet,Aceclofenac,100 mg,Ziska Pharmaceuticals Ltd.
Dydroton,Tablet,Chlorthalidone,25 mg,UniMed UniHealth
Dydron,Tablet,Dydrogesterone,10 mg,Nuvista Pharma Ltd.
Dyaferon,Syrup,Ferrous Sulfate,200 mg/5 ml,Doctor’s Chemical Works Ltd.
Dxproxil,Powder for Suspension,Cefpodoxime Proxetil,40 mg/5 ml,Monicopharma Ltd.
DXC,Capsule,Doxycycline Hydrochloride,100 mg,UniMed UniHealth
Duzela,Capsule (Delayed Release),Duloxetine Hydrochloride,20 mg,Sun Pharmaceutical Ltd.
Duxol,Ophthalmic Emulsion,Difluprednate,0.05%,Opso Saline Ltd.
Duvir,Tablet,Ledipasvir + Sofosbuvir,90 mg+400 mg,UniMed UniHealth
Duvent,Tablet,Rupatadine Fumarate,10 mg,Beximco Pharmaceuticals Ltd.
Duvent,Oral Solution,Rupatadine Fumarate,5 mg/5 ml,Beximco Pharmaceuticals Ltd.
Dutamax,Capsule,Dutasteride,0.5 mg,Drug International Ltd.
Durogesic,Transdermal Patch,Fentanyl Citrate,25 mcg/hour,Janssen-Cilag
Durogesic,Transdermal Patch,Fentanyl Citrate,50 mcg/hour,Janssen-Cilag
Duric,Tablet,Allopurinol,100 mg,Opsonin Pharma Ltd.
Durazol,Oral Suspension,Albendazole,200 mg/5 ml,Millat Pharmaceuticals Ltd.
Durazol,Chewable Tablet,Albendazole,400 mg,Millat Pharmaceuticals Ltd.
Duratocin,IV Injection,Carbetocin,100 mcg/ml,Beacon Pharmaceuticals Ltd.
Duran,Syrup,Ranitidine Hydrochloride,75 mg/5 ml,Techno Drugs Ltd.
Duran,IV Infusion,Ranitidine Hydrochloride,50 mg/100 ml,Techno Drugs Ltd.
Duran,Tablet,Ranitidine Hydrochloride,150 mg,Techno Drugs Ltd.
Duralax,Tablet,Bisacodyl,5 mg,Opsonin Pharma Ltd.
Duracef-Max,Powder for Suspension,Cefixime Trihydrate,500 mg/5 ml,Navana Pharmaceuticals Ltd.
Duracef DS,Powder for Suspension,Cefixime Trihydrate,200 mg/5 ml,Navana Pharmaceuticals Ltd.
Duracef,Capsule,Cefixime Trihydrate,200 mg,Navana Pharmaceuticals Ltd.
Duracef,Capsule,Cefixime Trihydrate,400 mg,Navana Pharmaceuticals Ltd.
Duracef,Powder for Suspension,Cefixime Trihydrate,100 mg/5 ml,Navana Pharmaceuticals Ltd.
Duracef,Tablet,Cefixime Trihydrate,200 mg,Navana Pharmaceuticals Ltd.
Duracef,Pediatric Drops,Cefixime Trihydrate,25 mg/ml,Navana Pharmaceuticals Ltd.
Duracain,Intraspinal Injection,Bupivacaine Hydrochloride + Dextrose,0.5%+8%,Techno Drugs Ltd.
Durabolin,IM Injection,Nandrolone Phenylpropionate,25 mg/ml,Nuvista Pharma Ltd.
Aceclora,Tablet,Aceclofenac,100 mg,Marksman Pharmaceuticals Ltd.
E-Lax,Oral Solution,Lactulose,3.35 gm/5 ml,Edruc Limited
E-Hexin,Tablet,Bromhexine Hydrochloride,16 mg,Ethical Drug Ltd.
E-Hexin,Syrup,Bromhexine Hydrochloride,4 mg/5 ml,Ethical Drug Ltd.
E-Flu,Powder for Suspension,Flucloxacillin Sodium,125 mg/5 ml,Edruc Limited
E-Flu,Capsule,Flucloxacillin Sodium,500 mg,Edruc Limited
E-Fenac,Tablet,Diclofenac Sodium,50 mg,Reliance Pharmaceuticals Ltd.
E-Doxy,Capsule,Doxycycline Hydrochloride,100 mg,Edruc Limited
E-Cof Plus,Syrup,Guaifenesin + Levomenthol + Diphenhydramine,(100 mg+1.1 mg+14 mg)/5 ml,Edruc Limited
E-Cof,Syrup,Pseudoephedrine + Guaiphenasine + Triprolidine,(30 mg+100 mg+1.25 mg)/5 ml,Edruc Limited
E-Cod,Syrup,Multivitamin & Cod Liver Oil,,Novo Healthcare and Pharma Ltd.
E-capro,Injection,Aminocaproic acid,1 gm/5 ml,Edruc Limited
E-Cap Plus,Capsule,Vitamin C + Vitamin E,250 mg+200 mg,Drug International Ltd.
E Tack,Tablet,Ranitidine Hydrochloride,150 mg,Reliance Pharmaceuticals Ltd.
Dyzin,Syrup,Cetirizine Hydrochloride,5 mg/5 ml,Amico Laboratories Ltd.
Dyzin,Tablet,Cetirizine Hydrochloride,10 mg,Amico Laboratories Ltd.
Dyvon Plus,Ointment,Betamethasone + Calcipotriol,0.05%+0.005%,Square Pharmaceuticals Ltd.
Dyvon Plus,Topical Suspension,Betamethasone + Calcipotriol,0.05%+0.005%,Square Pharmaceuticals Ltd.
Dyvon,Ointment,Calcipotriol Monohydrate,0.005% w/w,Square Pharmaceuticals Ltd.
Dytor,Tablet,Torasemide,5 mg,UniMed UniHealth
Dytor,Tablet,Torasemide,2.5 mg,UniMed UniHealth
Dysnov,Tablet,Domperidone Maleate,10 mg,UniMed UniHealth
Dysnov,Oral Suspension,Domperidone Maleate,5 mg/5 ml,UniMed UniHealth
Dysnov,Pediatric Drops,Domperidone Maleate,5 mg/ml,UniMed UniHealth
Dysmen,Tablet,Mefenamic acid,500 mg,Renata Limited
Dysmen,Tablet,Mefenamic acid,250 mg,Renata Limited
Dysma,Tablet,Tiemonium Methylsulphate,50 mg,Rangs Pharmaceuticals Ltd.
Dyno,Tablet,Cetirizine Hydrochloride,10 mg,Rephco Pharmaceuticals Ltd.
Dynase,Nasal Spray,Azelastine Hydrochloride + Fluticasone Propionate,(137 mcg+50 mcg)/spray,Beximco Pharmaceuticals Ltd.
Dymet,Tablet,Metronidazole,400 mg,Syntho Laboratories Ltd.
Dymet,Oral Suspension,Metronidazole,200 mg/5 ml,Syntho Laboratories Ltd.
Aceclofen,Tablet,Aceclofenac,100 mg,Astra Biopharmaceuticals Ltd.
Ebahist,Syrup,Ebastine,5 mg/5 ml,Globe Pharmaceuticals Ltd.
Eba,Tablet,Betacarotene + Vitamin C + Vitamin E,6 mg+200 mg+50 mg,Apex Pharmaceuticals Ltd.
Eazy Jelly,Topical Gel,Hydroxyethyl Cellulose + Glycerin,(1 gm + 1.3 gm)/50 gm,Renata Limited
EasyFlow,Capsule (Modified Release),Tamsulosin  Hydrochloride,0.4 mg,NIPRO JMI Pharma Ltd.
Easycal,Tablet,Calcium Orotate,400 mg,Chemist Laboratories  Ltd.
Easybak,Tablet,Baclofen,10 mg,Euro Pharma Ltd.
Easy ORS,Oral Powder,Oral Rehydration Salt [Rice Based],,Central Pharmaceuticals Ltd.
Easy ORS,Oral Powder,Oral Rehydration Salt [Powder],19.95 gm,Central Pharmaceuticals Ltd.
Easium,Tablet,Diazepam,5 mg,Opsonin Pharma Ltd.
Easium,Suppository,Diazepam,10 mg,Opsonin Pharma Ltd.
Easium,IM/IV Injection,Diazepam,10 mg/2 ml,Opsonin Pharma Ltd.
Ease Plus,Tablet,Paracetamol + Caffeine,500 mg+65 mg,Orbit Pharmaceuticals Ltd.
Ease,Tablet,Paracetamol,500 mg,Orbit Pharmaceuticals Ltd.
Ease,Oral Suspension,Paracetamol,120 mg/5 ml,Orbit Pharmaceuticals Ltd.
E-Tan,Tablet,Losartan Potassium,50 mg,Edruc Limited
E-Saline,Oral Powder,Oral Rehydration Salt [Powder],13.95 gm,Edruc Limited
E-Rox 500,Tablet,Erythromycin (Oral),500 mg,Desh Pharmaceuticals Ltd.
E-Rox 500,Powder for Suspension,Erythromycin (Oral),125 mg/5 ml,Desh Pharmaceuticals Ltd.
E-ROX,Powder for Suspension,Erythromycin (Oral),125 mg/5 ml,Desh Pharmaceuticals Ltd.
E-ROX,Tablet,Erythromycin (Oral),500 mg,Desh Pharmaceuticals Ltd.
E-Reb,Tablet (Enteric Coated),Rabeprazole Sodium,20 mg,Ethical Drug Ltd.
E-Proton,Capsule (Delayed Release),Esomeprazole,40 mg,Doctor TIMS Pharmaceuticals Ltd.
E-Proton,Capsule (Delayed Release),Esomeprazole,20 mg,Doctor TIMS Pharmaceuticals Ltd.
E-Pod,Capsule,Cefpodoxime Proxetil,200 mg,Edruc Limited
E-Pod,Powder for Suspension,Cefpodoxime Proxetil,80 mg/5 ml,Edruc Limited
E-mox,Capsule,Amoxicillin Trihydrate,250 mg,Edruc Limited
E-mox,Capsule,Amoxicillin Trihydrate,500 mg,Edruc Limited
E-mox,Pediatric Drops,Amoxicillin Trihydrate,125 mg/1.25 ml,Edruc Limited
E-mox,Powder for Suspension,Amoxicillin Trihydrate,125 mg/5 ml,Edruc Limited
E-Lid,Powder for Suspension,Erythromycin (Oral),125 mg/5 ml,Syntho Laboratories Ltd.
Aceclof,Tablet,Aceclofenac,100 mg,Premier Pharmaceuticals Ltd.
Ecless,Gel,Naproxen Sodium,10% w/w,Incepta Pharmaceuticals Ltd.
Ecless,Oral Suspension,Naproxen Sodium,125 mg/5 ml,Incepta Pharmaceuticals Ltd.
Eclamag,IM/IV Injection,Magnesium Sulfate,5 mg/10 ml,Incepta Pharmaceuticals Ltd.
Ecena,Tablet,Aceclofenac,100 mg,Edruc Limited
Ecal-D3,Tablet,Calcium Carbonate [Elemental source] + Vitamin D3,500 mg+200 IU,Ethical Drug Ltd.
EC-Vit,Tablet,Betacarotene + Vitamin C + Vitamin E,6 mg+200 mg+50 mg,Zenith Pharmaceuticals Ltd.
EC-Plus,Tablet,Vitamin C + Vitamin E,200 mg+200 mg,Orion Pharma Ltd.
EC-Pill,Tablet,Levonorgestrel,1.5 mg,Techno Drugs Ltd.
Eburn,Cream,Silver Sulfadiazine,1%,Pacific Pharmaceuticals Ltd.
Eburic,Tablet,Febuxostat,40 mg,Beximco Pharmaceuticals Ltd.
Ebion,Tablet,"Vitamin B1, B6 & B12",100 mg+200 mg+200 mcg,Biogen Pharmaceuticals Ltd.
Eben-DS,Chewable Tablet,Albendazole,400 mg,Edruc Limited
Eben,Oral Suspension,Albendazole,200 mg/5 ml,Edruc Limited
Ebazam,Tablet,Clobazam,10 mg,Edruc Limited
Ebatrol,Syrup,Ebastine,5 mg/5 ml,Delta Pharma Ltd.
Ebatrol,Tablet,Ebastine,10 mg,Delta Pharma Ltd.
Ebatin Fast,Dispersible Tablet,Ebastine,10 mg,Popular Pharmaceuticals Ltd.
Ebatin,Tablet,Ebastine,10 mg,Popular Pharmaceuticals Ltd.
Ebatin,Syrup,Ebastine,5 mg/5 ml,Popular Pharmaceuticals Ltd.
Ebasten FT,Dispersible Tablet,Ebastine,10 mg,ACI Limited
Ebasten,Tablet,Ebastine,10 mg,ACI Limited
Ebasten,Syrup,Ebastine,5 mg/5 ml,ACI Limited
Ebaril,Syrup,Ebastine,5 mg/5 ml,Incepta Pharmaceuticals Ltd.
Ebaril,Tablet,Ebastine,10 mg,Incepta Pharmaceuticals Ltd.
Ebanil,Tablet,Ebastine,10 mg,Opso Saline Ltd.
Ebanex,Tablet,Ebastine,10 mg,Opsonin Pharma Ltd.
Ebanex,Syrup,Ebastine,5 mg/5 ml,Opsonin Pharma Ltd.
Ebamine,Syrup,Ebastine,5 mg/5 ml,Ibn Sina Pharmaceuticals Ltd.
Ebamine,Tablet,Ebastine,10 mg,Ibn Sina Pharmaceuticals Ltd.
Ebahist,Tablet,Ebastine,10 mg,Globe Pharmaceuticals Ltd.
Acecard,Tablet,Ramipril,5 mg,Healthcare Pharmaceuticals Ltd.
Ecox,Tablet,Etoricoxib,120 mg,Alco Pharma Ltd.
Ecox,Tablet,Etoricoxib,90 mg,Alco Pharma Ltd.
Ecotrim,Cream,Econazole Nitrate + Triamcinolone Acetonide,1%+0.1%,Beximco Pharmaceuticals Ltd.
Ecotin,Tablet,Betacarotene + Vitamin C + Vitamin E,6 mg+200 mg+50 mg,Globe Pharmaceuticals Ltd.
Ecotin,Eye Capsule,"Vitamin C, Vitamin E, Lutein, Copper & Zinc",,Globe Pharmaceuticals Ltd.
Ecot,Cream,Econazole Nitrate + Triamcinolone Acetonide,1%+0.1%,Medicon Pharmaceuticals Ltd.
Ecostat,Cream,Econazole Nitrate + Triamcinolone Acetonide,1%+0.1%,Sharif Pharmaceuticals Ltd.
Ecosprin Plus,Tablet,Clopidogrel + Aspirin,75 mg+75 mg,ACME Laboratories Ltd.
Ecosprin,Tablet (Enteric Coated),Aspirin,81 mg,ACME Laboratories Ltd.
Ecosprin,Tablet (Enteric Coated),Aspirin,300 mg,ACME Laboratories Ltd.
Ecosprin,Tablet (Enteric Coated),Aspirin,75 mg,ACME Laboratories Ltd.
Ecosone,Cream,Econazole Nitrate + Triamcinolone Acetonide,1%+0.1%,Pharmadesh Laboratories Ltd.
Ecoren T,Cream,Econazole Nitrate + Triamcinolone Acetonide,1%+0.1%,ACI Limited
Ecoren,Cream,Econazole Nitrate,1%,ACI Limited
Ecoplus,Cream,Econazole Nitrate + Triamcinolone Acetonide,1%+0.1%,Team Pharmaceuticals Ltd.
Econate-G,Vaginal Cream,Econazole Nitrate,1%,Incepta Pharmaceuticals Ltd.
Econate VT,Vaginal Tablet,Econazole Nitrate,150 mg,Incepta Pharmaceuticals Ltd.
Econate Plus,Cream,Econazole Nitrate + Triamcinolone Acetonide,1%+0.1%,Incepta Pharmaceuticals Ltd.
Econate,Cream,Econazole Nitrate,1%,Incepta Pharmaceuticals Ltd.
Econal,Cream,Econazole Nitrate,1%,Kemiko Pharmaceuticals Ltd.
Ecomet,Cream,Econazole Nitrate,1%,Medimet Pharmaceuticals Ltd.
Ecolon,Cream,Econazole Nitrate + Triamcinolone Acetonide,1%+0.1%,Supreme Pharmaceutical Ltd.
Ecolet,Cream,Econazole Nitrate,1%,Amulet Pharmaceuticals Ltd.
Ecoderm TA,Cream,Econazole Nitrate + Triamcinolone Acetonide,1%+0.1%,Rephco Pharmaceuticals Ltd.
Ecoderm,Cream,Econazole Nitrate,1%,Rephco Pharmaceuticals Ltd.
Ecocort,Cream,Econazole Nitrate + Triamcinolone Acetonide,1%+0.1%,Globe Pharmaceuticals Ltd.
Eclo,Ointment,Clobetasol Propionate (Topical Preparation),0.05%,General Pharmaceuticals Ltd.
Eclo,Cream,Clobetasol Propionate (Topical Preparation),0.05%,General Pharmaceuticals Ltd.
Acecard,Tablet,Ramipril,2.5 mg,Healthcare Pharmaceuticals Ltd.
E-Cap,Capsule,Vitamin E [Alpha Tocopherol Acetate],400 IU,Drug International Ltd.
Acecard,Tablet,Ramipril,1.25 mg,Healthcare Pharmaceuticals Ltd.
Edin,Capsule,Cephradine,250 mg,Millat Pharmaceuticals Ltd.
Edifenac-TR,Capsule (Timed Release),Diclofenac Sodium,100 mg,Edruc Limited
Edifenac Plus,IM Injection,Diclofenac Sodium + Lidocaine Hydrochloride,(75 mg+20 mg)/2 ml,Edruc Limited
Edifenac,Tablet,Diclofenac Sodium,50 mg,Edruc Limited
Edifenac,IM Injection,Diclofenac Sodium,75 mg/3 ml,Edruc Limited
Edicef,Powder for Suspension,Cephalexin,125 mg/5 ml,Edruc Limited
Edicef,Capsule,Cephalexin,250 mg,Edruc Limited
Edical-D,Tablet,Calcium Carbonate [Elemental source] + Vitamin D3,500 mg+200 IU,Edruc Limited
Edical,Tablet,Calcium Carbonate,500 mg,Edruc Limited
Edenil,Tablet,Furosemide + Spironolactone,40 mg+50 mg,Eskayef Pharmaceuticals Ltd.
Edenil,Tablet,Furosemide + Spironolactone,20 mg+50 mg,Eskayef Pharmaceuticals Ltd.
Edemide,Tablet,Furosemide + Spironolactone,40 mg+50 mg,ACME Laboratories Ltd.
Edemide,Tablet,Furosemide + Spironolactone,20 mg+50 mg,ACME Laboratories Ltd.
Edeloss Plus,Tablet,Furosemide + Spironolactone,40 mg+50 mg,Incepta Pharmaceuticals Ltd.
Edeloss,Tablet,Furosemide + Spironolactone,20 mg+50 mg,Incepta Pharmaceuticals Ltd.
Edegra,Tablet,Sildenafil Citrate,50 mg,Sun Pharmaceutical Ltd.
Edegra,Tablet,Sildenafil Citrate,100 mg,Sun Pharmaceutical Ltd.
ED-Fex,Tablet,Fexofenadine Hydrochloride,120 mg,Ethical Drug Ltd.
ED-Fex,Oral Suspension,Fexofenadine Hydrochloride,30 mg/5 ml,Ethical Drug Ltd.
Eczena,Cream,Diflorasone Diacetate,0.05%,Square Pharmaceuticals Ltd.
Eczena,Ointment,Diflorasone Diacetate,0.05%,Square Pharmaceuticals Ltd.
Eczacort,Cream,Hydrocortisone Butyrate,0.10%,Ziska Pharmaceuticals Ltd.
Ectover,Tablet,Ivermectin (Tablet),12 mg,Goodman Pharmaceuticals Ltd.
Ectover,Tablet,Ivermectin (Tablet),6 mg,Goodman Pharmaceuticals Ltd.
Ectinac,Tablet,Aceclofenac,100 mg,United Pharmaceuticals Ltd.
Ecsota,Scalp Lotion,Betamethasone Dipropionate + Salicylic Acid,0.05%+2%,ACI Limited
Ecozol VT,Vaginal Tablet,Econazole Nitrate,150 mg,Opsonin Pharma Ltd.
Ecozol Plus,Cream,Econazole Nitrate + Triamcinolone Acetonide,1%+0.1%,Opsonin Pharma Ltd.
Ecozol,Cream,Econazole Nitrate,1%,Opsonin Pharma Ltd.
Acebid,Tablet,Aceclofenac,100 mg,Beacon Pharmaceuticals Ltd.
Ace XR,Tablet (Extended Release),Paracetamol,665 mg,Square Pharmaceuticals Ltd.
Edry,Powder for Suspension,Erythromycin (Oral),125 mg/5 ml,Edruc Limited
Edruvit-M,Tablet,Multivitamin & Multimineral,,Edruc Limited
Edruvit,Pediatric Drops,Multivitamin [Pediatric preparation],,Edruc Limited
Edruson,Tablet,Prednisolone,5 mg,Edruc Limited
Edruplex,Tablet,"Vitamin B1, B6 & B12",100 mg+200 mg+200 mcg,Edruc Limited
Edruplex,IM Injection,"Vitamin B1, B6 & B12",(100 mg+100 mg+1 mg)/3 ml,Edruc Limited
Edrumycetin,Ophthalmic Solution,Chloramphenicol (Ophthalmic),0.50%,Edruc Limited
Edrumycetin,Capsule,Chloramphenicol (Oral),250 mg,Edruc Limited
Edron,Tablet,Montelukast Sodium,10 mg,Edruc Limited
Edopain ER,Tablet (Extended Release),Etodolac,600 mg,Incepta Pharmaceuticals Ltd.
Edopain,Capsule,Etodolac,300 mg,Incepta Pharmaceuticals Ltd.
Edone,Tablet,Domperidone Maleate,10 mg,Zenith Pharmaceuticals Ltd.
Edone,Oral Suspension,Domperidone Maleate,5 mg/5 ml,Zenith Pharmaceuticals Ltd.
Edolac ER,Tablet (Extended Release),Etodolac,600 mg,Opsonin Pharma Ltd.
Edolac,Capsule,Etodolac,300 mg,Opsonin Pharma Ltd.
Edjenta,Tablet,Linagliptin,5 mg,Edruc Limited
Editrim-DS,Tablet,Sulphamethoxazole + Trimethoprim,800 mg+160 mg,Edruc Limited
Editrim,Oral Suspension,Sulphamethoxazole + Trimethoprim,(200 mg+40 mg)/5 ml,Edruc Limited
Editoren,Tablet,Cefditoren,400 mg,Opsonin Pharma Ltd.
Editoren,Tablet,Cefditoren,200 mg,Opsonin Pharma Ltd.
Editin-R,Tablet,Ranitidine Hydrochloride,150 mg,Edruc Limited
Editin-R,IM/IV Injection,Ranitidine Hydrochloride,50 mg/2 ml,Edruc Limited
Edisolone,Ophthalmic Suspension,Prednisolone Acetate,1%,Pacific Pharmaceuticals Ltd.
Ediplex-ZI,Syrup,Iron Polymaltose Complex + Vitamin B Complex + Zinc,,Edruc Limited
Ediplex,Tablet,Vitamin B complex,,Edruc Limited
Ediplex,Syrup,Vitamin B complex,,Edruc Limited
Edin DS,Powder for Suspension,Cephradine,250 mg/5 ml,Millat Pharmaceuticals Ltd.
Edin,Pediatric Drops,Cephradine,125 mg/1.25 ml,Millat Pharmaceuticals Ltd.
Edin,Powder for Suspension,Cephradine,125 mg/5 ml,Millat Pharmaceuticals Ltd.
Edin,Capsule,Cephradine,500 mg,Millat Pharmaceuticals Ltd.
Ace Power,Tablet,Paracetamol,1000 mg,Square Pharmaceuticals Ltd.
Efopam,Tablet,Nefopam Hydrochloride,30 mg,Eskayef Pharmaceuticals Ltd.
Efol ER,Capsule (Extended Release),Ferrous Sulfate + Folic Acid + Zinc Sulfate,150 mg+0.5 mg+61.8 mg,Beximco Pharmaceuticals Ltd.
Efodio,Tablet,Domperidone Maleate,10 mg,Radiant Pharmaceuticals Ltd.
Eflucin,Capsule,Flucloxacillin Sodium,250 mg,Jayson Pharmaceuticals Ltd.
Eflucin,Capsule,Flucloxacillin Sodium,500 mg,Jayson Pharmaceuticals Ltd.
Eflucin,Powder for Suspension,Flucloxacillin Sodium,125 mg/5 ml,Jayson Pharmaceuticals Ltd.
Eflucin,IM/IV Injection,Flucloxacillin Sodium,250 mg/vial,Jayson Pharmaceuticals Ltd.
Eflucin,IM/IV Injection,Flucloxacillin Sodium,500 mg/vial,Jayson Pharmaceuticals Ltd.
Efloxin,Tablet,Ciprofloxacin,750 mg,Ethical Drug Ltd.
Efloxin,Powder for Suspension,Ciprofloxacin,250 mg/5 ml,Ethical Drug Ltd.
Efloxin,Tablet,Ciprofloxacin,250 mg,Ethical Drug Ltd.
Efloxin,Tablet,Ciprofloxacin,500 mg,Ethical Drug Ltd.
Eflam,Tablet,Etoricoxib,60 mg,Apex Pharmaceuticals Ltd.
Eflam,Tablet,Etoricoxib,90 mg,Apex Pharmaceuticals Ltd.
Eflam,Tablet,Etoricoxib,120 mg,Apex Pharmaceuticals Ltd.
Efitaz,IV Infusion,Piperacillin + Tazobactam,(4 gm+0.5 gm)/vial,Radiant Pharmaceuticals Ltd.
